anchor,feature,cohort,n_conversations,n_splits,mean_cds,sample_sd,split_q025,split_q975,mean_distance_to_hsc,mean_distance_to_second_anchor
hsc_msc,sylber_npvi,lsc,34,50,52.490339792687,5.46499198417916,42.3167564192461,61.6665595345869,0.79569704819279,0.859392289387411
hsc_msc,sylber_npvi,hh,76,50,44.7794438437166,3.31513176054681,39.3187638833128,51.5429254789188,1.47671638741731,1.1861621794763
hsc_msc,sylber_npvi,hai_human,296,50,45.2536795218533,2.33304150922978,40.611283384392,49.0126173608392,2.40896475875293,1.98163562266472
hsc_msc,sylber_npvi,hai_ai,296,50,44.5181132574208,1.70566883088796,41.674652676169,47.818356699774,3.82093317013226,3.05797181695528
hsc_behavior_sd,sylber_npvi,hsc,34,50,61.0685731214861,5.95657983755358,50.9878259004145,70.5661205659163,0.897014666732434,1.38178505667085
hsc_behavior_sd,sylber_npvi,lsc,34,50,62.6931055289629,5.12075383994156,52.8579924081056,71.0872063580262,0.79569704819279,1.31350393350738
hsc_behavior_sd,sylber_npvi,hh,76,50,43.6981794226667,3.30037101270223,38.2734798425003,50.4428564988343,1.47671638741731,1.13507336642866
hsc_behavior_sd,sylber_npvi,hai_human,296,50,48.8519844933193,2.35524527592997,44.1457412031931,52.6303266165379,2.40896475875293,2.29041666927355
hsc_behavior_sd,sylber_npvi,hai_ai,296,50,50.4043810844115,1.72521169868681,47.5137395441436,53.7252697657641,3.82093317013226,3.87429294549524
hsc_msc,sylber_final_lengthening,hsc,34,50,67.5119893858622,5.67698542467427,54.9312351525695,76.1196430112323,0.0331797003181042,0.0683447105498985
hsc_msc,sylber_final_lengthening,lsc,34,50,58.5414529415214,4.8238194659207,49.5511902228484,66.6733621688817,0.0362604937590694,0.0503716856269821
hsc_msc,sylber_final_lengthening,hh,76,50,52.6375817409827,0.953285321398397,51.055292563658,54.4663400681525,0.179840761475037,0.199735517629026
hsc_msc,sylber_final_lengthening,hai_human,296,50,55.9526718043658,1.09337829934958,53.770310659962,57.9607566011066,0.144151581016125,0.182957646224154
hsc_msc,sylber_final_lengthening,hai_ai,296,50,53.5213779074812,1.00822575473386,51.6417843717728,55.4529078388649,0.153899758085608,0.177086566066655
hsc_behavior_sd,sylber_final_lengthening,hsc,34,50,76.0786886410588,4.51254905870646,65.3978612069843,83.4422212022129,0.0331797003181042,0.104598235607645
hsc_behavior_sd,sylber_final_lengthening,lsc,34,50,70.8881349033838,4.11387602973817,62.9869962342507,77.6114866914923,0.0362604937590694,0.0872852309767073
hsc_behavior_sd,sylber_final_lengthening,hh,76,50,40.1265557624148,0.91867202398921,38.6094901295081,41.9008945711474,0.179840761475037,0.120423986164377
